name,width,height,date,latitude,longitude,category_id,genus,specific_epithet,image_name,sub_dir,day,label,filepath
Armillaria mellea,500,400,2012-09-15,41.08107,-81.44713,5550,Armillaria,mellea,f194e608-268f-44a1-b59b-16605c14b436.jpg,05550_Armillaria_mellea,259,173,train_mini/05550_Armillaria_mellea/f194e608-268f-44a1-b59b-16605c14b436.jpg
Rusavskia elegans,375,500,2009-08-29,47.44858,-120.91901,5438,Rusavskia,elegans,d424965a-42b5-4135-8f70-e5b09b69e4c9.jpg,05438_Rusavskia_elegans,241,225,train_mini/05438_Rusavskia_elegans/d424965a-42b5-4135-8f70-e5b09b69e4c9.jpg
Laccaria amethystina,500,332,2012-10-21,51.12939,5.14831,5514,Laccaria,amethystina,b53c4f06-9a85-4b42-aaff-7b1c6925610e.jpg,05514_Laccaria_amethystina,295,25,train_mini/05514_Laccaria_amethystina/b53c4f06-9a85-4b42-aaff-7b1c6925610e.jpg
Strobilurus trullisatus,375,500,2012-10-19,47.07065,-122.98099,5553,Strobilurus,trullisatus,2bc56795-9dc5-4aa8-a7c0-ff49d9870dea.jpg,05553_Strobilurus_trullisatus,293,45,train_mini/05553_Strobilurus_trullisatus/2bc56795-9dc5-4aa8-a7c0-ff49d9870dea.jpg
Coprinus comatus,375,500,2012-10-24,40.87589,-81.40234,5479,Coprinus,comatus,01211140-0509-4ad8-8ab7-07dcb6c01642.jpg,05479_Coprinus_comatus,298,294,train_mini/05479_Coprinus_comatus/01211140-0509-4ad8-8ab7-07dcb6c01642.jpg
Trametes versicolor,500,375,2012-10-09,45.91332,-121.70358,5695,Trametes,versicolor,907a9f30-a749-4c12-b34d-9cc10b6030ab.jpg,05695_Trametes_versicolor,283,58,train_mini/05695_Trametes_versicolor/907a9f30-a749-4c12-b34d-9cc10b6030ab.jpg
Usnea longissima,335,500,2012-10-01,47.42048,-123.33184,5419,Usnea,longissima,db1e7998-5258-4619-b939-4260af99574b.jpg,05419_Usnea_longissima,275,241,train_mini/05419_Usnea_longissima/db1e7998-5258-4619-b939-4260af99574b.jpg
Hypogymnia tubulosa,500,375,2012-10-29,46.86651,-123.04066,5411,Hypogymnia,tubulosa,c4db4786-6d21-4b25-989d-bac72caa06d1.jpg,05411_Hypogymnia_tubulosa,303,68,train_mini/05411_Hypogymnia_tubulosa/c4db4786-6d21-4b25-989d-bac72caa06d1.jpg
Fistulina hepatica,500,375,2012-10-20,51.66161,0.05093,5512,Fistulina,hepatica,e321be13-6d46-4be4-98a0-f93e97ae26f3.jpg,05512_Fistulina_hepatica,294,167,train_mini/05512_Fistulina_hepatica/e321be13-6d46-4be4-98a0-f93e97ae26f3.jpg
Laccaria amethystina,500,375,2012-10-20,51.66161,0.05093,5514,Laccaria,amethystina,84af517c-94ca-4e48-84d8-2efb39c05995.jpg,05514_Laccaria_amethystina,294,25,train_mini/05514_Laccaria_amethystina/84af517c-94ca-4e48-84d8-2efb39c05995.jpg
Hypholoma fasciculare,375,500,2012-10-20,51.66161,0.05093,5579,Hypholoma,fasciculare,6a8ba7b0-2332-4439-adf3-ecf776676828.jpg,05579_Hypholoma_fasciculare,294,259,train_mini/05579_Hypholoma_fasciculare/6a8ba7b0-2332-4439-adf3-ecf776676828.jpg
Nectria cinnabarina,500,375,2012-10-20,51.66161,0.05093,5467,Nectria,cinnabarina,e6fd4c37-1050-4338-a2e3-4031bd12c3cf.jpg,05467_Nectria_cinnabarina,294,284,train_mini/05467_Nectria_cinnabarina/e6fd4c37-1050-4338-a2e3-4031bd12c3cf.jpg
Pholiota aurivella,375,500,2012-11-03,47.08062,-122.97472,5584,Pholiota,aurivella,d500b77c-4471-43b8-a0a1-3e345051de8d.jpg,05584_Pholiota_aurivella,308,290,train_mini/05584_Pholiota_aurivella/d500b77c-4471-43b8-a0a1-3e345051de8d.jpg
Laetiporus gilbertsonii,480,360,2012-11-05,36.4967,-121.76369,5661,Laetiporus,gilbertsonii,53201386-e800-4fac-9807-1e8dab9dcc0d.jpg,05661_Laetiporus_gilbertsonii,310,105,train_mini/05661_Laetiporus_gilbertsonii/53201386-e800-4fac-9807-1e8dab9dcc0d.jpg
Vulpicida pinastri,500,333,2012-11-05,55.73611,-4.17624,5422,Vulpicida,pinastri,0bac679b-b5f2-47b3-9a7c-f51dac564df5.jpg,05422_Vulpicida_pinastri,310,324,train_mini/05422_Vulpicida_pinastri/0bac679b-b5f2-47b3-9a7c-f51dac564df5.jpg
Dacrymyces chrysospermus,500,335,2012-11-10,46.90554,-123.06541,5719,Dacrymyces,chrysospermus,06efd920-e4f2-460a-a86f-12de52ec85ab.jpg,05719_Dacrymyces_chrysospermus,315,29,train_mini/05719_Dacrymyces_chrysospermus/06efd920-e4f2-460a-a86f-12de52ec85ab.jpg
Laccaria laccata,375,500,2012-11-12,47.033,-124.17081,5515,Laccaria,laccata,c7a451f0-21dd-4023-ba9c-948bfda23e8f.jpg,05515_Laccaria_laccata,317,32,train_mini/05515_Laccaria_laccata/c7a451f0-21dd-4023-ba9c-948bfda23e8f.jpg
Helvella vespertina,375,500,2012-11-24,45.49606,-122.61646,5456,Helvella,vespertina,b3500484-2890-4983-9b4d-2dc3241997dc.jpg,05456_Helvella_vespertina,329,9,train_mini/05456_Helvella_vespertina/b3500484-2890-4983-9b4d-2dc3241997dc.jpg
Laccaria amethysteo-occidentalis,320,240,2012-11-24,45.49606,-122.61646,5513,Laccaria,amethysteo-occidentalis,242b4958-405d-4267-8115-6e2648257bb1.jpg,05513_Laccaria_amethysteo-occidentalis,329,111,train_mini/05513_Laccaria_amethysteo-occidentalis/242b4958-405d-4267-8115-6e2648257bb1.jpg
Strobilurus trullisatus,500,375,2012-10-19,47.07437,-122.9818,5553,Strobilurus,trullisatus,7710c559-2566-47c6-a6a8-8c2cfa11f7c1.jpg,05553_Strobilurus_trullisatus,293,45,train_mini/05553_Strobilurus_trullisatus/7710c559-2566-47c6-a6a8-8c2cfa11f7c1.jpg
Icmadophila ericetorum,375,500,2012-12-01,44.85327,-122.18857,5436,Icmadophila,ericetorum,78ad49a3-6d07-42b1-8b7f-7caf75de5a33.jpg,05436_Icmadophila_ericetorum,336,141,train_mini/05436_Icmadophila_ericetorum/78ad49a3-6d07-42b1-8b7f-7caf75de5a33.jpg
Stropharia ambigua,299,500,2012-11-12,47.072,-122.979,5586,Stropharia,ambigua,9885ab3c-642a-48eb-a00e-b91190c4fec5.jpg,05586_Stropharia_ambigua,317,11,train_mini/05586_Stropharia_ambigua/9885ab3c-642a-48eb-a00e-b91190c4fec5.jpg
Lichenomphalia chromacea,383,500,2010-09-29,-37.14434,142.53094,5522,Lichenomphalia,chromacea,5d15b95e-5fed-44e3-9cdb-209dc355520b.jpg,05522_Lichenomphalia_chromacea,272,340,train_mini/05522_Lichenomphalia_chromacea/5d15b95e-5fed-44e3-9cdb-209dc355520b.jpg
Ascocoryne sarcoides,500,333,2012-10-04,55.75764,-4.0182,5447,Ascocoryne,sarcoides,8dbf1438-69cd-41bc-8228-f60e6d6b6277.jpg,05447_Ascocoryne_sarcoides,278,69,train_mini/05447_Ascocoryne_sarcoides/8dbf1438-69cd-41bc-8228-f60e6d6b6277.jpg
Lactarius xanthogalactus,500,375,2012-12-26,36.96476,-121.87424,5707,Lactarius,xanthogalactus,de159646-6dc1-4d61-af2c-aa14960045dc.jpg,05707_Lactarius_xanthogalactus,361,184,train_mini/05707_Lactarius_xanthogalactus/de159646-6dc1-4d61-af2c-aa14960045dc.jpg
Xylaria polymorpha,500,370,2012-07-05,43.62442,-72.52721,5471,Xylaria,polymorpha,20d945a9-0617-4509-adcb-86d9849a56b7.jpg,05471_Xylaria_polymorpha,187,164,train_mini/05471_Xylaria_polymorpha/20d945a9-0617-4509-adcb-86d9849a56b7.jpg
Xylaria hypoxylon,500,375,2013-01-07,38.40255,-122.94576,5470,Xylaria,hypoxylon,8354d898-da63-4b6c-8f52-83a9d71e9ef6.jpg,05470_Xylaria_hypoxylon,7,291,train_mini/05470_Xylaria_hypoxylon/8354d898-da63-4b6c-8f52-83a9d71e9ef6.jpg
Gliophorus psittacinus,500,375,2013-01-07,38.40065,-122.94657,5517,Gliophorus,psittacinus,71c72828-a273-47c0-892d-833fb7e8aeda.jpg,05517_Gliophorus_psittacinus,7,62,train_mini/05517_Gliophorus_psittacinus/71c72828-a273-47c0-892d-833fb7e8aeda.jpg
Hygrocybe flavescens,500,375,2013-01-07,38.39882,-122.94663,5520,Hygrocybe,flavescens,d49f2e11-57de-483e-aaaf-e4fde1f6761f.jpg,05520_Hygrocybe_flavescens,7,120,train_mini/05520_Hygrocybe_flavescens/d49f2e11-57de-483e-aaaf-e4fde1f6761f.jpg
Omphalotus olivascens,500,333,2013-01-12,37.61423,-121.9043,5549,Omphalotus,olivascens,ec12a5f2-31d9-466d-ab78-b14cec8121ac.jpg,05549_Omphalotus_olivascens,12,311,train_mini/05549_Omphalotus_olivascens/ec12a5f2-31d9-466d-ab78-b14cec8121ac.jpg
Clavaria zollingeri,411,336,2011-07-04,43.13234,-72.52547,5504,Clavaria,zollingeri,dd17c07c-a160-4f39-8a6f-929bcf2a8a86.jpg,05504_Clavaria_zollingeri,185,152,train_mini/05504_Clavaria_zollingeri/dd17c07c-a160-4f39-8a6f-929bcf2a8a86.jpg
Clavaria zollingeri,500,376,2011-09-27,43.67383,-72.66632,5504,Clavaria,zollingeri,416885d7-fd9f-4279-b988-be065e31cf69.jpg,05504_Clavaria_zollingeri,270,152,train_mini/05504_Clavaria_zollingeri/416885d7-fd9f-4279-b988-be065e31cf69.jpg
Phaeotremella foliacea,500,375,2008-10-26,43.62921,-72.93935,5726,Phaeotremella,foliacea,69fb0674-0d3d-46df-b2cb-8f238bcad413.jpg,05726_Phaeotremella_foliacea,300,57,train_mini/05726_Phaeotremella_foliacea/69fb0674-0d3d-46df-b2cb-8f238bcad413.jpg
Hypogymnia tubulosa,500,333,2013-02-02,37.81788,-122.04019,5411,Hypogymnia,tubulosa,3e1a6922-13d3-407b-95df-0ee20adf31ec.jpg,05411_Hypogymnia_tubulosa,33,68,train_mini/05411_Hypogymnia_tubulosa/3e1a6922-13d3-407b-95df-0ee20adf31ec.jpg
Gymnosporangium juniperi-virginianae,500,367,2013-02-08,43.13234,-72.52547,5723,Gymnosporangium,juniperi-virginianae,25895437-16db-4e2d-aed2-f9adda1d950e.jpg,05723_Gymnosporangium_juniperi-virginianae,39,76,train_mini/05723_Gymnosporangium_juniperi-virginianae/25895437-16db-4e2d-aed2-f9adda1d950e.jpg
Hygrocybe coccinea,360,480,2013-02-10,37.87278,-122.23899,5518,Hygrocybe,coccinea,0b175ec2-6177-4708-90dc-b4ab96595152.jpg,05518_Hygrocybe_coccinea,41,28,train_mini/05518_Hygrocybe_coccinea/0b175ec2-6177-4708-90dc-b4ab96595152.jpg
Hygrocybe coccinea,375,500,2013-02-10,37.873,-122.239,5518,Hygrocybe,coccinea,d870afae-97d1-4a9c-b035-a13b47736edb.jpg,05518_Hygrocybe_coccinea,41,28,train_mini/05518_Hygrocybe_coccinea/d870afae-97d1-4a9c-b035-a13b47736edb.jpg
Trametes hirsuta,500,375,2013-02-13,34.18484,-118.09544,5693,Trametes,hirsuta,8d53ff1e-4c21-4247-a601-f514a8e2fe87.jpg,05693_Trametes_hirsuta,44,261,train_mini/05693_Trametes_hirsuta/8d53ff1e-4c21-4247-a601-f514a8e2fe87.jpg
Phellinus tremulae,377,500,2013-02-14,43.64775,-72.94888,5637,Phellinus,tremulae,69694024-d824-4681-b9c4-fc5853a25837.jpg,05637_Phellinus_tremulae,45,257,train_mini/05637_Phellinus_tremulae/69694024-d824-4681-b9c4-fc5853a25837.jpg
Lobaria anthraspis,374,500,2013-02-17,38.78958,-122.65634,5429,Lobaria,anthraspis,517e3ec4-9716-4662-992f-9efa4b6addbe.jpg,05429_Lobaria_anthraspis,48,65,train_mini/05429_Lobaria_anthraspis/517e3ec4-9716-4662-992f-9efa4b6addbe.jpg
Cerioporus squamosus,500,333,2012-04-05,41.62751,-88.52599,5673,Cerioporus,squamosus,36ad4ee9-a129-4259-babd-446415c892c6.jpg,05673_Cerioporus_squamosus,96,292,train_mini/05673_Cerioporus_squamosus/36ad4ee9-a129-4259-babd-446415c892c6.jpg
Cyathus striatus,500,294,2010-08-16,30.38614,-84.4675,5545,Cyathus,striatus,ec5c7787-3231-4351-9968-b4bde2535362.jpg,05545_Cyathus_striatus,228,98,train_mini/05545_Cyathus_striatus/ec5c7787-3231-4351-9968-b4bde2535362.jpg
Cyathus stercoreus,280,500,2005-09-11,44.58477,-73.00071,5544,Cyathus,stercoreus,bf4fbc6b-a0b0-4d9f-9e5b-012da103f24d.jpg,05544_Cyathus_stercoreus,254,158,train_mini/05544_Cyathus_stercoreus/bf4fbc6b-a0b0-4d9f-9e5b-012da103f24d.jpg
Tremella mesenterica,500,376,2013-02-26,43.65955,-73.22646,5728,Tremella,mesenterica,132e60fc-4b81-4709-b27d-312602bfbc98.jpg,05728_Tremella_mesenterica,57,283,train_mini/05728_Tremella_mesenterica/132e60fc-4b81-4709-b27d-312602bfbc98.jpg
Lycoperdon perlatum,500,375,2008-10-05,43.64673,-72.95051,5528,Lycoperdon,perlatum,4d33de44-245f-455c-bc6b-e039340e6efd.jpg,05528_Lycoperdon_perlatum,279,37,train_mini/05528_Lycoperdon_perlatum/4d33de44-245f-455c-bc6b-e039340e6efd.jpg
Galiella rufa,500,376,2013-03-01,43.62868,-72.93926,5463,Galiella,rufa,ecf0fb87-d730-4d9a-b7c8-1b4767827359.jpg,05463_Galiella_rufa,60,260,train_mini/05463_Galiella_rufa/ecf0fb87-d730-4d9a-b7c8-1b4767827359.jpg
Trametes conchifer,500,383,2013-03-02,43.13234,-72.52547,5691,Trametes,conchifer,9faac039-84ec-4111-a5a6-99e6de3a03f5.jpg,05691_Trametes_conchifer,61,219,train_mini/05691_Trametes_conchifer/9faac039-84ec-4111-a5a6-99e6de3a03f5.jpg
Trametes gibbosa,500,376,2013-03-06,43.62095,-72.95746,5692,Trametes,gibbosa,4dec6ed6-be7c-4e04-bb70-b5e9fb003ece.jpg,05692_Trametes_gibbosa,65,232,train_mini/05692_Trametes_gibbosa/4dec6ed6-be7c-4e04-bb70-b5e9fb003ece.jpg
Teloschistes flavicans,500,334,2013-03-06,38.41042,-122.69141,5441,Teloschistes,flavicans,ffaba1fe-e384-4097-adb9-0525382a03e0.jpg,05441_Teloschistes_flavicans,65,202,train_mini/05441_Teloschistes_flavicans/ffaba1fe-e384-4097-adb9-0525382a03e0.jpg
Trametes betulina,333,500,2013-03-07,38.63999,-122.85967,5688,Trametes,betulina,090b491d-4e8e-4f0f-a3e2-3d02c450aa95.jpg,05688_Trametes_betulina,66,43,train_mini/05688_Trametes_betulina/090b491d-4e8e-4f0f-a3e2-3d02c450aa95.jpg
Psathyrella candolleana,375,500,2013-03-08,38.55867,-121.45383,5573,Psathyrella,candolleana,131a8171-7d1c-483e-9f23-bd0747fa53be.jpg,05573_Psathyrella_candolleana,67,115,train_mini/05573_Psathyrella_candolleana/131a8171-7d1c-483e-9f23-bd0747fa53be.jpg
Evernia mesomorpha,500,376,2013-03-11,43.64803,-72.9502,5406,Evernia,mesomorpha,32ac98bd-b42b-4274-9073-fc0a248128c2.jpg,05406_Evernia_mesomorpha,70,191,train_mini/05406_Evernia_mesomorpha/32ac98bd-b42b-4274-9073-fc0a248128c2.jpg
Graphis scripta,500,333,2013-04-13,37.3211,-122.40087,5427,Graphis,scripta,1f8b9bf7-9db9-4f32-8933-976b97c4d462.jpg,05427_Graphis_scripta,103,107,train_mini/05427_Graphis_scripta/1f8b9bf7-9db9-4f32-8933-976b97c4d462.jpg
Ramalina menziesii,500,333,2013-04-13,38.01675,-122.67379,5425,Ramalina,menziesii,fc9c037b-55e6-4b5b-ae8e-04de3c5390cc.jpg,05425_Ramalina_menziesii,103,247,train_mini/05425_Ramalina_menziesii/fc9c037b-55e6-4b5b-ae8e-04de3c5390cc.jpg
Flavoparmelia caperata,500,367,2013-04-26,34.42873,-119.52978,5408,Flavoparmelia,caperata,3478c242-a1c8-4e73-b926-ec875ec9c684.jpg,05408_Flavoparmelia_caperata,116,222,train_mini/05408_Flavoparmelia_caperata/3478c242-a1c8-4e73-b926-ec875ec9c684.jpg
Morchella americana,351,500,2013-05-01,41.06042,-81.35506,5457,Morchella,americana,86716a30-cbc6-4bd4-96c1-adcfd0f937ac.jpg,05457_Morchella_americana,121,325,train_mini/05457_Morchella_americana/86716a30-cbc6-4bd4-96c1-adcfd0f937ac.jpg
Chlorociboria aeruginascens,500,333,2012-02-19,37.43109,-122.34856,5446,Chlorociboria,aeruginascens,00f63da1-580a-4ae1-99d9-17bdc74c685d.jpg,05446_Chlorociboria_aeruginascens,50,154,train_mini/05446_Chlorociboria_aeruginascens/00f63da1-580a-4ae1-99d9-17bdc74c685d.jpg
Chlorophyllum rhacodes,500,375,2013-05-19,47.65831,-122.40445,5478,Chlorophyllum,rhacodes,388cd4b4-0ce4-4c17-aa55-8e0d9cb1129e.jpg,05478_Chlorophyllum_rhacodes,139,253,train_mini/05478_Chlorophyllum_rhacodes/388cd4b4-0ce4-4c17-aa55-8e0d9cb1129e.jpg
Allodus podophylli,500,333,2013-05-15,41.61367,-88.89757,5722,Allodus,podophylli,30147840-5311-418d-9a10-a44751a5f814.jpg,05722_Allodus_podophylli,135,131,train_mini/05722_Allodus_podophylli/30147840-5311-418d-9a10-a44751a5f814.jpg
Parmelia sulcata,375,500,2013-05-19,47.6557,-122.40977,5414,Parmelia,sulcata,030fd241-3cc3-48cb-8fa9-e8254a814015.jpg,05414_Parmelia_sulcata,139,307,train_mini/05414_Parmelia_sulcata/030fd241-3cc3-48cb-8fa9-e8254a814015.jpg
Lasallia papulosa,500,333,2013-06-06,42.23568,-71.05593,5444,Lasallia,papulosa,c2953673-2a63-473b-86e4-75389948e287.jpg,05444_Lasallia_papulosa,157,54,train_mini/05444_Lasallia_papulosa/c2953673-2a63-473b-86e4-75389948e287.jpg
Xylaria hypoxylon,377,500,2013-06-27,43.58552,-72.91045,5470,Xylaria,hypoxylon,17a9153f-83f9-4217-97f0-174ef83f6b02.jpg,05470_Xylaria_hypoxylon,178,291,train_mini/05470_Xylaria_hypoxylon/17a9153f-83f9-4217-97f0-174ef83f6b02.jpg
Xanthomendoza fallax,358,480,2013-06-28,40.00964,-105.27464,5442,Xanthomendoza,fallax,2d40dbad-6086-47fa-b9ab-206fa2c4913f.jpg,05442_Xanthomendoza_fallax,179,229,train_mini/05442_Xanthomendoza_fallax/2d40dbad-6086-47fa-b9ab-206fa2c4913f.jpg
Cladonia evansii,375,500,2008-01-13,34.04594,-77.91389,5400,Cladonia,evansii,8decb8be-e660-4ed2-86fc-6b712b920484.jpg,05400_Cladonia_evansii,13,128,train_mini/05400_Cladonia_evansii/8decb8be-e660-4ed2-86fc-6b712b920484.jpg
Parasola plicatilis,373,500,2013-07-07,43.85342,-72.58914,5572,Parasola,plicatilis,727ebd33-12b7-4aeb-8c28-4d117f6a773e.jpg,05572_Parasola_plicatilis,188,137,train_mini/05572_Parasola_plicatilis/727ebd33-12b7-4aeb-8c28-4d117f6a773e.jpg
Chlorophyllum molybdites,500,375,2012-09-09,35.98554,-79.06167,5477,Chlorophyllum,molybdites,b46a2bb7-3733-4888-8e66-d17f97080815.jpg,05477_Chlorophyllum_molybdites,253,149,train_mini/05477_Chlorophyllum_molybdites/b46a2bb7-3733-4888-8e66-d17f97080815.jpg
Artomyces pyxidatus,500,375,2013-07-11,35.2011,-85.96175,5697,Artomyces,pyxidatus,3e85daa5-fa81-4002-8e2d-e0454e428fd7.jpg,05697_Artomyces_pyxidatus,192,274,train_mini/05697_Artomyces_pyxidatus/3e85daa5-fa81-4002-8e2d-e0454e428fd7.jpg
